Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
9,639218753885354,639218753892437,291,2341,136,286,0.0
7,639218753883604,639218753893104,17809,25196,104,304,639218752193141.0
8,639218753883937,639218753893521,4394,17008,115,318,0.0
23,639218753896588,639218753905755,2973,23034,87,279,0.0
24,639218753896838,639218753906422,16869,28372,97,300,639218752193141.0
25,639218753898172,639218753906838,2721,12175,108,290,0.0
48,639218753910005,639218753919005,18313,26893,90,279,639218752193141.0
47,639218753909672,639218753919255,1010,20940,83,283,0.0
49,639218753910005,639218753919588,1589,18423,87,286,0.0
15,639218753922057,639218753931307,4307,17722,237,430,0.0
16,639218753922141,639218753931391,18239,27898,104,297,639218752193141.0
17,639218753922474,639218753932307,748,13414,87,293,0.0
38,639218753937255,639218753943922,273,1284,101,241,0.0
35,639218753935755,639218753944755,1732,13713,87,276,0.0
36,639218753935838,639218753945172,17725,27460,80,276,639218752193141.0
37,639218753936255,639218753945588,211,20396,97,293,0.0
5,639218753950521,639218753957437,435,1195,122,269,0.0
2,639218753948437,639218753957854,302,22085,115,311,0.0
3,639218753948687,639218753957854,17790,25582,104,297,639218752193141.0
4,639218753949521,639218753958521,547,11446,94,283,0.0
20,639218753961755,639218753971088,3303,19483,125,321,0.0
21,639218753961922,639218753971422,18826,26545,122,321,639218752193141.0
22,639218753962088,639218753971838,3120,20277,104,311,0.0
31,639218753974588,639218753984088,4075,17959,94,293,0.0
32,639218753974922,639218753984422,18326,27093,90,290,639218752193141.0
33,639218753975255,639218753984755,1777,18795,83,283,0.0
0,639218753987521,639218753996354,3444,22669,146,332,0.0
1,639218753987521,639218753996771,17006,26599,125,321,639218752193141.0
2,639218753988354,639218753997437,2356,18594,129,318,0.0
10,639218754000271,639218754009854,1037,21584,108,311,0.0
11,639218754000521,639218754010104,19534,25471,108,307,639218752193141.0
12,639218754000771,639218754010604,1787,18498,108,314,0.0
35,639218754014005,639218754023255,17784,27739,90,283,639218752193141.0
34,639218754013505,639218754023255,405,24152,69,272,0.0
36,639218754014172,639218754023672,2863,18475,87,286,0.0
1,639218754026771,639218754035771,15639,28545,115,304,639218752193141.0
0,639218754026354,639218754035937,2193,14241,118,318,0.0
2,639218754026854,639218754036354,3883,15605,118,318,0.0
23,639218754041005,639218754048255,231,1167,108,258,0.0
